title,abstract,link,,authors,date,,,,,,
Volumetric Environment Representation for Vision-Language Navigation,,,,Liu (None) | Wenguan Wang (Zhejiang University) | Yi Yang (Zhejiang University),,,,,,,
SIFU: Side-view Conditioned Implicit Function for Real-world Usable Clothed Human Reconstruction,"Creating high-quality 3D models of clothed humans from single images for real-world applications is crucial. Despite recent advancements, accurately reconstructing humans in complex poses or with loose clothing from in-the-wild images, along with predicting textures for unseen areas, remains a significant challenge. A key limitation of previous methods is their insufficient prior guidance in transitioning from 2D to 3D and in texture prediction. In response, we introduce SIFU (Side-view Conditioned Implicit Function for Real-world Usable Clothed Human Reconstruction), a novel approach combining a Side-view Decoupling Transformer with a 3D Consistent Texture Refinement pipeline.SIFU employs a cross-attention mechanism within the transformer, using SMPL-X normals as queries to effectively decouple side-view features in the process of mapping 2D features to 3D. This method not only improves the precision of the 3D models but also their robustness, especially when SMPL-X estimates are not perfect. Our texture refinement process leverages text-to-image diffusion-based prior to generate realistic and consistent textures for invisible views. Through extensive experiments, SIFU surpasses SOTA methods in both geometry and texture reconstruction, showcasing enhanced robustness in complex scenarios and achieving an unprecedented Chamfer and P2S measurement. Our approach extends to practical applications such as 3D printing and scene building, demonstrating its broad utility in real-world scenarios. Project page https://river-zhang.github.io/SIFU-projectpage/ .",http://arxiv.org/abs/2312.06704v2,,Zechuan Zhang (Zhejiang University) | Zongxin Yang (Zhejiang University) | Yi Yang (Zhejiang University),2023-12-10 11:45:45+00:00,,,,,,
Psychometry: An Omnifit Model for Image Reconstruction from Human Brain Activity,,,,Ruijie Quan (Zhejiang University) | Wenguan Wang (Zhejiang University) | Zhibo Tian (Lanzhou University) | Fan Ma (None) | Yi Yang (Zhejiang University),,,,,,,
Clustering for Protein Representation Learning,,,,Ruijie Quan (Zhejiang University) | Wenguan Wang (Zhejiang University) | Fan Ma (None) | Hehe Fan (None) | Yi Yang (Zhejiang University),,,,,,,
Knowledge-Enhanced Dual-stream Zero-shot Composed Image Retrieval,,,,Yucheng Suo (Zhejiang University) | Fan Ma (None) | Linchao Zhu (None) | Yi Yang (Zhejiang University),,,,,,,
S2VNet: Universal Multi-Class Medical Image Segmentation via Clustering-based Slice-to-Volume Propagation,,,,Yuhang Ding (University Of Technology Sydney) | Liulei Li (Zhejiang University) | Wenguan Wang (Zhejiang University) | Yi Yang (Zhejiang University),,,,,,,
LSKNet: Towards High-Performance and Efficient 3D Perception with Large Sparse Kernels,,,,Tuo Feng (University Of Technology Sydney) | Wenguan Wang (Zhejiang University) | Fan Ma (None) | Yi Yang (Zhejiang University),,,,,,,
Entangled View-Epipolar Information Aggregation for Generalizable Neural Radiance Fields,"Generalizable NeRF can directly synthesize novel views across new scenes, eliminating the need for scene-specific retraining in vanilla NeRF. A critical enabling factor in these approaches is the extraction of a generalizable 3D representation by aggregating source-view features. In this paper, we propose an Entangled View-Epipolar Information Aggregation method dubbed EVE-NeRF. Different from existing methods that consider cross-view and along-epipolar information independently, EVE-NeRF conducts the view-epipolar feature aggregation in an entangled manner by injecting the scene-invariant appearance continuity and geometry consistency priors to the aggregation process. Our approach effectively mitigates the potential lack of inherent geometric and appearance constraint resulting from one-dimensional interactions, thus further boosting the 3D representation generalizablity. EVE-NeRF attains state-of-the-art performance across various evaluation scenarios. Extensive experiments demonstate that, compared to prevailing single-dimensional aggregation, the entangled network excels in the accuracy of 3D scene geometry and appearance reconstruction. Our code is publicly available at https://github.com/tatakai1/EVENeRF.",http://arxiv.org/abs/2311.11845v2,,Zhiyuan Min (Zhejiang University) | Yawei Luo (Zhejiang University) | Wei Yang (Huazhong University Of Science And Technology) | Yuesong Wang (None) | Yi Yang (Zhejiang University),2023-11-20 15:35:00+00:00,,,,,,
MuViC: Multi-Instance Visual Controller For Multi-Instance Generation,,,,Dewei Zhou (None) | You Li (Zhejiang University) | Fan Ma (None) | Xiaoting Zhang (Huawei Technologies Ltd.) | Yi Yang (Zhejiang University),,,,,,,
CapHuman: Capture Your Moments in Parallel Universes,"We concentrate on a novel human-centric image synthesis task, that is, given only one reference facial photograph, it is expected to generate specific individual images with diverse head positions, poses, facial expressions, and illuminations in different contexts. To accomplish this goal, we argue that our generative model should be capable of the following favorable characteristics: (1) a strong visual and semantic understanding of our world and human society for basic object and human image generation. (2) generalizable identity preservation ability. (3) flexible and fine-grained head control. Recently, large pre-trained text-to-image diffusion models have shown remarkable results, serving as a powerful generative foundation. As a basis, we aim to unleash the above two capabilities of the pre-trained model. In this work, we present a new framework named CapHuman. We embrace the ""encode then learn to align"" paradigm, which enables generalizable identity preservation for new individuals without cumbersome tuning at inference. CapHuman encodes identity features and then learns to align them into the latent space. Moreover, we introduce the 3D facial prior to equip our model with control over the human head in a flexible and 3D-consistent manner. Extensive qualitative and quantitative analyses demonstrate our CapHuman can produce well-identity-preserved, photo-realistic, and high-fidelity portraits with content-rich representations and various head renditions, superior to established baselines. Code and checkpoint will be released at https://github.com/VamosC/CapHuman.",http://arxiv.org/abs/2402.00627v2,,Chao Liang (Zhejiang University) | Fan Ma (None) | Linchao Zhu (None) | Yingying Deng (None) | Yi Yang (Zhejiang University),2024-02-01 14:41:59+00:00,,,,,,
